ip;subnet;cidr;last_usable;broadcast;
172.25.64.1;255.255.240.0;/20;172.25.79.254;172.25.79.255;
10.0.5.10;255.255.255.0;/24;10.0.5.254;10.0.5.255;
172.16.40.77;255.255.248.0;/21;172.16.47.254;172.16.47.255;
192.168.50.200;255.255.255.0;/24;192.168.50.254;192.168.50.255;
10.1.128.5;255.255.0.0;/16;10.1.255.254;10.1.255.255;
192.168.200.14;255.255.252.0;/22;192.168.203.254;192.168.203.255;
10.15.32.100;255.255.192.0;/18;10.15.63.254;10.15.63.255;
172.31.240.89;255.255.255.0;/24;172.31.240.254;172.31.240.255;
192.168.10.44;255.255.255.128;/25;192.168.10.126;192.168.10.127;
10.50.4.9;255.255.255.128;/25;10.50.4.126;10.50.4.127;

